S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
264,C D S L,2788.15,278.82,29136.17,919.96,31.67,480.03,45.91,60.74,0.34,19.91,6376190,10,140.03,3.66,10.45,0.00
265,Hatsun Agro,1294.2,1294.2,28828.08,8214.82,3.51,317.66,14.26,90.75,0.46,18.34,61829,1,70.58,150.32,22.27,1.72
266,BASF India,6604.5,660.45,28590.88,14359.73,1.99,671.25,155.07,43.24,0.23,8.87,64203,10,744.72,36.57,4.33,0.05
267,Amara Raja Ener.,1561,1561,28570.26,11620.41,2.46,939.68,53.17,30.40,0.63,4.22,324026,1,369.82,7.24,18.3,0.02
268,Crompton Gr. Con,440.3,220.15,28325.88,7573.65,3.74,472.1,7.37,60.55,0.68,9.44,2994762,2,46.64,14.18,64.33,0.23
269,Sundram Fasten.,1340.1,1340.1,28159.30,5753.22,4.89,539.59,25.5,52.54,0.51,8.23,77169,1,162.79,6.16,21.01,0.19
270,Poonawalla Fin,362.35,181.18,28082.65,3393.85,8.27,1748.71,22.69,23.02,0.55,3.44,1657522,2,105.44,-12.08,77.5,1.86
271,Inox Wind,212.74,21.27,27736.91,2040.63,13.59,62.06,0.58,372.26,0.00,16.34,15301128,10,13.02,37.24,130.38,1.91
272,Bayer Crop Sci.,6158.7,615.87,27678.49,4994.8,5.54,666.2,148.24,41.55,2.27,9.71,51531,10,634.02,164.79,4.49,0.02
273,Dr Lal Pathlabs,3300.75,330.08,27585.77,2287.5,12.06,386.5,45.7,72.31,0.73,14.90,233120,10,221.53,25.64,8.36,0.13
274,Timken India,3662.8,366.28,27551.12,2975.66,9.26,398.32,52.95,69.17,0.07,11.40,90500,10,321.37,-31.90,7.52,0.01
275,TVS Holdings,13479.4,2695.88,27271.66,41087.64,0.66,1934.47,446.2,30.24,0.70,9.59,6309,5,1405.98,3.70,2.02,9.24
276,Vedant Fashions,1121.5,1121.5,27238.53,1295.74,21.02,384.71,15.84,70.80,0.76,17.00,68737,1,65.96,-46.03,24.29,0.28
277,Grindwell Norton,2454.05,490.81,27171.24,2724.02,9.97,380.45,34.31,71.50,0.69,13.22,18418,5,185.63,0.74,11.07,0.04
278,ITI,281.8,28.18,27077.79,1626.57,16.65,-557.51,-5.8,,0.00,15.48,401616,10,18.21,61.88,96.09,1.03
279,Sumitomo Chemi.,538.35,53.84,26871.51,2940.08,9.14,436.3,8.74,61.59,0.17,11.01,619282,10,48.89,17.49,49.91,0.01
280,Pfizer,5850.95,585.1,26766.77,2224.67,12.02,608.51,133.01,44.42,0.60,7.44,31986,10,785.95,-15.74,4.57,0.01
281,Brigade Enterpr.,1152.35,115.24,26634.93,5320.44,5.01,459.68,21.51,58.55,0.17,7.30,1135242,10,157.91,-61.81,23.12,1.50
282,Whirlpool India,2096.95,209.7,26604.00,6793.52,3.92,239.13,18.85,105.53,0.24,8.25,132007,10,254.17,106.52,12.69,0.07
283,Tata Chemicals,1042.35,104.24,26554.91,14992,1.77,38,-4.47,34.21,1.44,1.19,488956,10,872.88,122.59,25.48,0.25
284,Aegis Logistics,749.75,749.75,26316.23,6546.73,4.02,697.58,16.66,44.99,0.87,6.76,235615,1,110.95,-33.39,35.1,0.68
285,Natco Pharma,1461.95,730.98,26184.97,4220.9,6.20,1636.5,91.37,16.00,0.65,4.47,775209,2,326.79,73.05,17.91,0.06
286,ICICI Securities,800.05,160.01,25909.67,5755.59,4.50,1952.76,60.39,13.27,3.62,6.60,473457,5,121.31,-1.79,32.39,4.30
287,Jyoti CNC Auto.,1136.7,568.35,25851.18,1492.17,17.32,215.36,9.91,120.04,0.00,18.94,499950,2,60,-48.90,22.74,0.22
288,Triveni Turbine,810,810,25748.03,1740.8,14.79,288.94,9.07,89.33,0.32,26.83,3031276,1,30.19,5.52,31.79,0.00
289,Gillette India,7856.1,785.61,25603.03,2607.19,9.82,387.48,118.91,66.08,0.57,24.84,16485,10,316.29,-4.68,3.26,0.00
290,Suven Pharma,1003.8,1003.8,25553.23,934.49,27.35,240.45,9.45,106.27,0.10,12.46,111543,1,80.56,13.87,25.46,0.03
291,SKF India,5083.45,508.35,25131.54,4626.73,5.43,556.25,112.51,45.18,2.56,9.37,137288,10,542.67,-9.02,4.94,0.00
292,Ircon Intl.,266.8,133.4,25092.96,11945.18,2.10,966.17,10.27,25.97,1.16,4.27,5493703,2,62.42,-9.17,94.05,0.44
293,Castrol India,252.3,50.46,24955.56,5169.74,4.83,884.77,8.95,28.21,2.97,11.70,4450670,5,21.57,7.37,98.91,0.03
294,KIOCL,407.45,40.75,24762.82,1500.28,16.51,-75.99,-1.25,,0.00,12.91,177843,10,31.57,-18.20,60.78,0.09
295,Ratnamani Metals,3509.05,1754.53,24595.63,5067.88,4.85,596.11,84.75,41.41,0.40,7.83,41763,2,448.06,-45.17,7.01,0.05
296,Narayana Hrudaya,1183.4,118.34,24184.06,5129.26,4.72,807.08,39.47,29.98,0.34,8.39,223784,10,141.11,5.61,20.44,0.56
297,Piramal Pharma,182.08,18.21,24139.22,8373.45,2.88,27.76,0.21,599.73,0.06,3.04,2711336,10,59.8,-187.53,132.57,0.60
298,Emcure Pharma,1258.7,125.87,23801.81,6658.25,3.57,527.57,27.5,47.29,0.00,,170956,10,,26.09,18.91,0.79
299,Century Textiles,2130.7,213.07,23799.00,5008.44,4.75,85.07,5.77,208.14,0.23,5.98,116826,10,356.23,-15.94,11.17,0.63
300,Multi Comm. Exc.,4636.35,463.64,23645.39,772.15,30.62,174.37,34.19,135.60,0.16,17.15,1227332,10,270.3,26.23,5.1,0.00
301,Godfrey Phillips,4535.5,2267.75,23581.84,4543.54,5.19,858.08,164.86,26.28,1.23,5.57,245869,2,813.96,6.24,5.2,0.08
302,Authum Invest,1387.95,1387.95,23573.65,3763.3,6.26,3983.83,234.56,5.92,0.00,2.29,53527,1,605.42,-27.07,16.98,0.04
303,EIH,375.75,187.88,23498.06,2539.71,9.25,668.42,10.03,36.96,0.32,5.96,432984,2,63,-60.92,62.54,0.05
