S.No.,Name,CMP Rs.,TruFace Rs.,Mar Cap Rs.Cr. ,Sales Rs.Cr.,spe %,NP 12M Rs.Cr.,EPS 12M Rs.,P/E,Div Yld %,CMP / BV,Vol 1d,Face value Rs.,B.V. Rs.,QoQ Profits %,No. Eq. Shares Cr.,Debt / Eq
909,Quick Heal Tech,586.1,58.61,3140.28,310.6,10.15,41.03,7.69,76.54,0.43,7.18,130592,10,81.66,-71.30,5.38,0.00
910,Refex Industries,271.25,135.63,3137.86,1595.67,1.97,101.06,9.02,31.06,0.04,6.74,509478,2,40.25,-12.07,11.57,0.46
911,Gokul Agro,212.02,106.01,3128.21,15686.66,0.20,164.58,11.15,19.01,0.00,3.98,459225,2,53.29,19.56,14.75,0.77
912,Foseco India,4889.35,488.94,3124.29,493.07,6.35,65.43,102.45,47.97,0.51,10.27,2911,10,476.29,16.72,0.64,0.01
913,Bajel Projects,270.05,135.03,3114.76,1476.2,2.11,11.51,1,178.60,0.00,5.50,186333,2,49.11,-21.92,11.53,0.03
914,Thejo Engg.,2872.1,287.21,3114.00,555.25,5.59,55.49,48.84,59.25,0.07,12.35,14772,10,232.51,-28.62,1.08,0.17
915,Suven Life Scie.,142.36,142.36,3104.50,8.91,348.47,-109.02,-5,,0.00,11.50,2890662,1,12.38,-5.65,21.81,0.00
916,Prem. Explosives,573.15,286.58,3081.32,292.63,10.54,27.19,5.05,113.33,0.06,14.00,98411,2,40.94,9.80,5.38,0.30
917,Wendt India,15320.8,1532.08,3064.16,224.63,13.64,39.61,198.05,77.36,0.33,14.45,787,10,1060.55,-42.60,0.2,0.00
918,SJS Enterprises,987.05,98.71,3063.60,699.18,4.38,95.59,30.49,32.38,0.20,5.56,166450,10,177.38,3.90,3.1,0.15
919,Flair Writing,289.75,57.95,3053.83,910.02,3.36,112.87,11.12,27.06,0.00,3.43,45791,5,84.37,-20.80,10.54,0.06
920,HMT,85.82,8.58,3051.77,149.15,20.46,2551.65,71.76,,0.00,,36052,10,-49.27,-101.10,35.56,
921,Dhani Services,50.4,25.2,3040.30,410.62,7.40,-362.76,-6.02,,0.00,0.88,1644413,2,57.11,1.95,60.32,0.20
922,Indrapr.Medical,331,33.1,3034.28,1286.05,2.36,138.23,15.08,21.95,1.36,6.35,523983,10,52.12,43.63,9.17,0.07
923,NRB Bearings,312.1,156.05,3024.95,1111.3,2.72,248.14,25.37,31.83,1.63,3.52,122579,2,88.74,-19.36,9.69,0.21
924,Maithan Alloys,1037.8,103.78,3021.20,1700.05,1.78,745.37,256.21,4.05,0.58,0.96,147913,10,1079.26,221.14,2.91,0.01
925,Ashapura Minech.,330.2,165.1,3020.87,2421.41,1.25,240.03,26.65,19.29,0.00,3.28,299811,2,100.6,-10.48,9.15,1.06
926,Indoco Remedies,326.9,163.45,3013.44,1822.28,1.65,74.65,8.32,45.01,0.69,2.72,30319,2,120.4,-91.74,9.22,0.61
927,Repco Home Fin,480.05,48.01,3003.26,1567.87,1.92,411.05,65.7,7.31,0.62,1.04,136020,10,462.58,-2.43,6.26,3.70
928,Saksoft,283.1,283.1,3001.17,779.16,3.85,96.61,9.11,31.06,0.28,5.94,118693,1,47.68,10.30,10.6,0.05
929,Stanley Lifesty.,524.25,262.13,2989.13,432.5,6.91,29.1,5.83,102.72,0.00,,263109,2,,-63.11,5.7,0.83
930,E2E Networks,2060.9,206.09,2985.59,116.34,25.69,25.04,17.29,119.23,0.00,42.10,70266,10,48.95,187.25,1.45,2.03
931,Fino Payments,358.3,35.83,2981.57,162.41,18.36,91.8,11.03,32.48,0.00,5.40,201465,10,66.4,-3.73,8.32,2.45
932,Tinna Rubber,1736.25,173.63,2974.11,418.57,7.09,49.63,28.97,59.93,0.29,23.28,23924,10,74.6,4.66,1.71,0.67
933,Sagar Cements,227.47,113.74,2973.20,2525.54,1.18,-41.65,-2.42,,0.31,1.53,65786,2,148.52,-378.07,13.07,0.74
934,BF Utilities,789.15,157.83,2971.94,19.49,152.65,27.63,7.33,107.56,0.00,20.06,159333,5,39.33,86.57,3.77,0.09
935,Vadilal Inds.,4131.6,413.16,2970.62,1178.67,2.52,152.35,211.96,19.50,0.04,5.48,9176,10,754.5,180.10,0.72,0.41
936,Vishnu Prakash R,237.75,23.78,2963.41,1452.26,2.04,120.51,9.67,24.59,0.00,4.11,1871245,10,57.85,-78.01,12.46,0.55
937,Vindhya Telelink,2497.55,249.76,2959.60,4069.11,0.73,253.31,213.75,11.68,0.60,0.74,81334,10,3352.76,-72.82,1.19,0.12
938,Abans Holdings,589.4,294.7,2955.60,1414.05,2.09,92.61,16.89,34.89,0.00,3.18,463226,2,185.62,14.41,5.01,1.00
939,Rajratan Global,580.85,290.43,2949.03,906.74,3.25,74.64,14.7,39.51,0.34,5.99,15613,2,97.02,-24.70,5.08,0.39
940,Goodluck India,900.7,450.35,2948.76,3579.83,0.82,139.66,46.44,21.21,0.56,2.49,45766,2,362.11,-3.28,3.27,0.53
941,S H Kelkar & Co.,212.68,21.27,2943.93,1935.09,1.52,8.9,0.64,26.03,0.35,2.43,2367043,10,87.62,-359.71,13.84,0.55
942,Ideaforge Tech,686,68.6,2942.25,303.12,9.71,27.19,6.35,108.21,0.00,4.45,219428,10,154.04,-88.67,4.29,0.02
943,Somany Ceramics,712.45,356.23,2921.30,2583.4,1.13,99.07,22.63,31.84,0.42,4.06,22910,2,175.63,-63.81,4.1,0.52
944,CARE Ratings,974.45,97.45,2913.09,344.19,8.47,105.59,34.7,28.16,1.85,4.06,27357,10,240.23,-12.91,2.99,0.03
945,D.P. Abhushan,1286.9,128.69,2909.80,2373.18,1.23,71.32,32.05,40.80,0.08,12.00,51051,10,107.28,54.81,2.26,0.68
946,Servotech Power,130.45,130.45,2907.79,335.07,8.68,12.04,0.55,241.51,0.03,22.01,2245055,1,5.93,48.13,22.29,0.63
947,Automotive Axles,1922.65,192.27,2905.12,2189.73,1.33,162.39,107.46,17.89,1.66,3.32,15475,10,579.63,-22.79,1.51,0.02
948,SML ISUZU,2003.5,200.35,2899.06,2310.42,1.26,122.48,84.63,23.67,0.80,10.15,11550,10,197.35,-11.33,1.45,1.48
949,Capacit'e Infra.,341.65,34.17,2890.50,2070.93,1.40,154.67,18.98,18.70,0.00,1.91,7409239,10,179.3,3.13,8.46,0.22
950,Mayur Uniquoters,656.75,131.35,2886.59,767.06,3.77,124.33,28.29,23.22,0.46,3.33,107923,5,197.43,8.60,4.4,0.02
951,Man Industries,445.65,89.13,2884.92,3410.4,0.85,112.82,18.26,25.57,0.45,2.05,208957,5,217.02,-21.05,6.47,0.23
952,Marathon Nextgen,562.85,112.57,2882.25,657.07,4.39,163.5,32.09,17.88,0.18,2.89,45468,5,194.57,-6.53,5.12,0.76
953,M M Forgings,596.65,59.67,2880.72,1529.33,1.88,141.87,29.37,20.31,0.67,3.53,361416,10,169.01,-14.75,4.83,1.13
954,GE Power,428.25,42.83,2879.12,1631.23,1.76,-45.07,-6.7,,0.00,41.84,107675,10,10.24,-136.74,6.72,2.36
955,Vishnu Chemicals,439.35,219.68,2878.94,1250.74,2.30,102.95,15.71,27.96,0.07,4.11,499750,2,107,9.88,6.55,0.45
956,SEPC,18.39,1.84,2875.57,593.52,4.85,25.93,0.17,110.90,0.00,2.38,12617166,10,7.74,21.14,156.37,0.38
957,Shalby,265.75,26.58,2870.36,977.15,2.94,77.41,7.22,37.08,0.45,2.87,177376,10,92.62,-8.10,10.8,0.38
958,Salasar Techno,16.93,16.93,2868.40,1240.56,2.31,53.27,0.33,53.85,0.12,5.93,4838488,1,2.85,-38.19,169.43,0.78
959,Fusion Microfin.,284.85,28.49,2866.47,2473.98,1.16,349.21,34.7,8.21,0.00,1.01,412265,10,283.03,-126.84,10.06,3.03
960,Jash Engineering,2282.65,228.27,2856.18,566,5.04,70.21,57.79,40.68,0.18,8.04,22695,10,283.77,-99.79,1.25,0.23
961,Pokarna,916.5,458.25,2841.52,718.65,3.95,102.53,33.07,27.01,0.07,4.80,916798,2,191.05,113.35,3.1,0.66
962,K C P,219.19,219.19,2825.82,2793.63,1.01,281.44,14.77,14.74,0.46,2.00,304121,1,109.39,-39.88,12.89,0.34
963,Genesys Intl.,711.75,142.35,2818.68,219.46,12.84,32.39,8.43,86.68,0.00,5.75,796773,5,123.71,-64.16,3.96,0.12
964,HLE Glascoat,407.8,203.9,2783.87,997.62,2.79,37.01,3.86,98.15,0.27,6.68,52315,2,61.06,-63.38,6.83,0.93
965,Vertoz,32.43,32.43,2764.01,198.72,13.91,20.07,0.44,146.71,0.00,17.73,9386880,1,1.83,22.39,85.23,0.11
966,TCPL Packaging,3029.3,302.93,2756.66,1518,1.82,112.22,123.32,24.56,0.73,5.11,5067,10,593.12,9.68,0.91,0.87
967,Disa India,18943.85,1894.39,2754.82,325.16,8.74,41.17,283.11,64.18,1.06,11.52,43,10,1644,16.08,0.15,0.01
968,Tasty Bite Eat.,10728.15,1072.82,2752.84,471.88,5.91,16.47,64.19,167.14,0.02,9.61,19320,10,1116.84,-244.71,0.26,0.30
969,Spectrum Electr.,1759,175.9,2745.20,334.29,8.21,19.72,12.64,139.21,0.06,16.18,2125,10,108.73,77.36,1.56,0.52
970,Dishman Carbogen,175.05,87.53,2744.49,2416.17,1.14,-248.02,-15.82,,0.00,0.49,721205,2,358.94,-10.94,15.68,0.41
971,Dollar Industrie,481.75,240.88,2732.30,1552.19,1.76,88.84,15.66,30.76,0.62,3.46,75597,2,139.42,-57.68,5.67,0.38
972,Kolte Patil Dev.,358.7,35.87,2726.28,1141.07,2.39,-109.08,-14.35,,1.12,3.71,125837,10,96.56,124.33,7.6,1.52
973,Nilkamal Ltd,1823.45,182.35,2720.59,3155.93,0.86,108.31,72.44,25.17,1.10,1.93,15677,10,944.81,-48.44,1.49,0.29
974,Hi-Tech Pipes,179.57,179.57,2691.50,2924.11,0.92,54.04,3.8,49.81,0.01,4.67,5812192,1,38.45,62.17,14.99,0.63
975,Indian Hume Pipe,509.4,254.7,2683.61,1405.77,1.91,100.28,19.04,26.76,0.29,3.24,116848,2,157.41,-28.65,5.27,0.62
976,Novartis India,1084.9,216.98,2678.70,336.76,7.96,90.67,36.72,29.54,2.30,3.60,6988,5,301.66,75.34,2.47,0.01
977,PSP Projects,675.4,67.54,2677.41,2564.83,1.04,121.46,32.86,22.04,0.37,2.66,74830,10,254.06,124.79,3.96,0.50
978,Goodyear India,1159,115.9,2673.81,2523.43,1.06,80.62,34.95,33.17,1.29,4.60,5844,10,252.08,694.54,2.31,0.01
979,Dish TV India,14.51,14.51,2671.71,1811.66,1.47,-1988.67,-10.8,,0.00,,6640897,1,-14.97,99.92,184.13,
980,JITF Infra Logis,1038.3,519.15,2668.82,3276.93,0.81,119.69,23.34,56.20,0.00,,133202,2,-216.11,-43.54,2.57,
981,Dolphin Offshore,666.65,666.65,2666.91,14.12,188.85,12.99,3.48,214.73,0.00,12.05,4276,1,55.33,417.12,4,0.01
982,Hindware Home In,365.45,182.73,2642.07,2765.62,0.96,23.05,3.09,77.38,0.11,4.42,357827,2,82.69,-243.22,7.23,1.75
983,Prec. Wires (I),147.8,147.8,2640.56,3473.45,0.76,78.55,4.4,33.62,0.41,5.21,407885,1,28.35,1.41,17.87,0.19
984,Cupid,98.26,98.26,2637.96,186.4,14.15,45.96,1.72,57.40,0.25,12.85,381034,1,7.65,-65.18,26.85,0.04
985,Dolat Algotech,149.83,149.83,2637.01,351.23,7.51,216.14,12.28,12.20,0.17,3.33,795613,1,45.01,5.33,17.6,0.11
986,Insecticid.India,890.2,89.02,2634.80,1983.12,1.33,122.73,41.47,21.47,0.34,2.61,109641,10,341.62,508.17,2.96,0.09
987,Dredging Corpn.,940.1,94.01,2632.28,891.88,2.95,-10.87,-3.88,,0.00,2.08,40127,10,451.29,-33.79,2.8,0.34
988,RPSG Ventures,792.55,79.26,2622.26,8171.19,0.32,105.11,-31.78,,0.00,0.98,263093,10,806.08,385.40,3.31,1.58
989,Rashi Peripheral,397.05,79.41,2616.55,12916.12,0.20,148.81,,19.51,0.25,1.69,189770,5,235.29,16.96,6.59,0.45
990,Mold-Tek Pack.,785.45,157.09,2609.97,709.46,3.68,64.39,19.4,40.53,0.25,4.39,50964,5,178.88,-8.01,3.32,0.21
991,Filatex India,58.8,58.8,2609.87,4270.97,0.61,125.33,2.82,20.82,0.26,2.17,1442822,1,27.13,-7.32,44.39,0.19
992,EFC (I),523.95,261.98,2608.05,465.09,5.61,75.9,14.75,38.41,0.00,6.11,33434,2,85.74,-43.56,4.98,0.96
993,Confidence Petro,81.54,81.54,2589.01,2601.28,1.00,87.51,2.86,31.30,0.12,2.19,1153110,1,37.22,10.84,31.75,0.54
994,Andrew Yule & Co,52.9,26.45,2586.55,306.81,8.43,-42.63,-0.87,,0.01,7.62,523084,2,6.94,87.98,48.9,0.34
995,ESAF Small Fin,50.15,5.02,2581.62,3942.2,0.65,358.38,7.36,7.20,1.40,1.04,675644,10,48.4,44.80,51.48,9.27
996,Accelya Solution,1724.85,172.49,2575.20,511.13,5.03,93.85,62.88,22.05,1.45,9.10,17753,10,189.5,15495.00,1.49,0.12
997,EIH Assoc.Hotels,421.3,42.13,2567.25,382.41,6.71,77.35,12.7,33.19,1.42,5.54,58730,10,76,-90.27,6.09,0.01
998,KP Green Engg.,510.25,102.05,2551.25,349.05,7.31,35.39,7.08,71.70,0.00,9.56,114000,5,53.35,114.73,5,0.14
999,Mangalam Cement,924.25,92.43,2541.44,1685.52,1.51,62.08,22.58,40.94,0.16,3.13,91727,10,295.16,-1.27,2.75,0.75
1000,Unitech,9.68,4.84,2532.58,467.29,5.42,-4310.42,-14.57,,0.00,,3447382,2,-16.03,23.29,261.63,
1001,B.L.Kashyap,111.97,111.97,2524.25,1342.11,1.88,62.81,2.79,43.20,0.00,5.09,1828209,1,22.02,-14.41,22.54,0.62
1002,Federal-Mogul Go,452.5,45.25,2517.26,1729.33,1.45,139.34,23.81,19.01,0.00,2.27,66987,10,199.58,-13.94,5.56,0.01
1003,Lumax Industries,2690.15,269.02,2515.29,2783.95,0.90,122.08,130.6,20.60,1.00,3.74,31757,10,718.41,-5.24,0.93,1.08
1004,Orient Green,21.4,2.14,2510.27,255.74,9.82,35.11,0.3,112.28,0.00,3.19,8452752,10,6.72,123.76,117.3,0.96
1005,Lotus Chocolate,1946.7,194.67,2499.56,243.76,10.22,9.66,7.52,258.75,0.00,67.87,37121,10,28.68,1161.25,1.28,0.01
1006,XPRO India,1133.55,113.36,2497.74,473.05,5.27,46.61,21.76,51.90,0.18,4.88,53126,10,232.14,12.79,2.2,0.08
1007,K.P. Energy,373.75,74.75,2492.54,487.14,5.12,60.55,9.08,41.16,0.04,13.43,499971,5,27.83,-26.87,6.67,0.47
1008,Raghav Product.,1084,108.4,2488.06,147.53,16.90,28.52,12.43,87.24,0.08,15.73,49419,10,68.91,4.80,2.3,0.06
1009,Goldiam Intl.,232.97,116.49,2488.01,648.9,3.83,95.65,8.96,26.03,0.52,3.95,2714308,2,59.03,24.03,10.68,0.01
1010,DEE Development,359.95,36,2485.60,788.76,3.15,26.21,4.94,94.83,0.00,,924542,10,,-73.13,6.91,1.02
1011,Jubilant Inds.,1647.9,164.79,2482.91,1262.66,1.97,33.42,22.18,35.34,0.00,10.60,37128,10,155.48,17.31,1.51,0.69
1012,Ajmera Realty,699.75,69.98,2482.71,777.64,3.19,115.1,31.89,22.03,0.57,2.87,21521,10,243.86,11.13,3.55,0.93
1013,HMA Agro Inds.,49.49,49.49,2478.31,4554.66,0.54,57,1.16,46.42,0.61,3.46,529631,1,14.32,-52.60,50.08,0.69
1014,TIL,372.1,37.21,2478.26,130.43,19.00,251.89,47.3,,0.00,78.45,21761,10,4.74,-100.63,6.66,5.44
1015,SMS Pharma.,292.7,292.7,2477.76,738.37,3.36,56.47,6.67,43.88,0.14,4.35,249738,1,67.35,2.58,8.47,0.49
1016,Barbeque-Nation,633.8,126.76,2476.39,1236.32,2.00,-11.47,-3.58,,0.00,6.30,1307521,5,100.58,-14366.67,3.91,1.74
1017,Rane Holdings,1727.95,172.8,2467.51,3466.21,0.71,157.01,86.93,13.25,1.45,2.72,26157,10,634.7,-49.23,1.43,0.94
1018,Globus Spirits,854.55,85.46,2467.00,2486.7,0.99,74.38,25.81,33.17,0.41,2.53,169736,10,337.11,4215.79,2.89,0.34
1019,ADF Foods,222.96,111.48,2449.52,529.52,4.63,73.45,6.85,33.35,0.54,5.55,88651,2,40.15,-42.53,10.99,0.13
1020,Geojit Fin. Ser.,102.32,102.32,2446.93,685.36,3.57,173.11,7.04,14.54,1.47,2.94,503979,1,34.78,-11.75,23.91,0.48
1021,Oriental Hotels,136.71,136.71,2441.63,382.54,6.38,40.91,2.29,59.68,0.37,3.95,276675,1,34.63,-106.98,17.86,0.33
1022,Welspun Special.,45.89,7.65,2432.58,695.94,3.50,53.28,1.01,45.66,0.00,26.13,439385,6,1.76,-95.13,53.01,2.79
1023,Kalyani Invest.,5565.85,556.59,2432.28,68.14,35.94,70.5,161.5,34.50,0.00,0.29,1285,10,19023.89,-85.70,0.44,0.00
1024,Panama Petrochem,401.8,200.9,2430.63,2497.99,0.97,199.43,32.97,12.19,1.74,2.20,333823,2,182.29,-17.73,6.05,0.02
1025,Monarch Networth,716.75,71.68,2427.60,301.54,8.06,146.18,43.16,16.60,0.14,7.02,335622,10,102.13,31.17,3.39,0.33
1026,Owais Metal,1335,133.5,2427.35,80.05,30.35,15.47,8.51,156.91,0.00,35.53,11200,10,37.57,27.84,1.82,0.22
1027,Themis Medicare,263.7,263.7,2427.10,408.1,5.94,50.01,5.43,48.53,0.19,6.43,1483688,1,41.03,271.69,9.2,0.25
1028,Paramount Comm.,79.6,39.8,2415.34,1181.12,2.04,96.31,3.41,25.08,0.00,3.86,1424647,2,20.64,-14.21,30.34,0.16
1029,Stove Kraft,730.75,73.08,2415.26,1381.04,1.75,34.15,10.34,70.73,0.34,5.50,351318,10,132.89,208.27,3.31,0.58
1030,Cosmo First,919.4,91.94,2413.40,2619.35,0.92,79.24,30.19,30.46,0.33,1.79,350032,10,513.34,101.24,2.62,0.78
1031,NIBE,1837.6,183.76,2413.17,362.53,6.64,28.62,22.07,84.32,0.01,14.45,89009,10,127.15,-35.52,1.31,0.41
1032,Rupa & Co,302.6,302.6,2406.41,1231.37,1.95,76.01,9.56,30.55,0.99,2.51,305811,1,120.47,-56.85,7.95,0.25
1033,India Pesticides,208.76,208.76,2404.15,699.54,3.44,65.33,5.67,36.80,0.36,2.90,215948,1,71.88,1847.57,11.52,0.02
1034,Den Networks,49.96,5,2384.21,1055.1,2.26,213.79,4.56,11.18,0.00,0.70,3229147,10,71.67,-43.82,47.72,0.01
1035,Veritas (India),888.55,888.55,2382.20,4114.83,0.58,209.78,78.25,11.36,0.01,0.95,34096,1,936.27,97.82,2.68,0.05
1036,Meghmani Organi.,93.42,93.42,2375.80,1554.38,1.53,-88.29,-3.47,,1.50,1.56,4080657,1,60.07,6.68,25.43,0.55
1037,Sasken Technol.,1562.75,156.28,2356.31,431.3,5.47,70.73,47.24,33.32,1.60,3.06,13670,10,509.91,2.79,1.51,0.01
1038,Nitin Spinners,417.2,41.72,2345.50,3091.5,0.76,144.74,25.75,16.20,0.60,2.05,128332,10,203.9,7.53,5.62,1.17
1039,Parag Milk Foods,196.07,19.61,2340.60,3147.05,0.74,96.48,8.17,24.26,0.00,2.57,495986,10,76.41,178.00,11.94,0.71
1040,Sai Silks,151.9,75.95,2329.63,1336.22,1.74,86.16,5.62,27.04,0.00,2.19,606945,2,69.31,-92.73,15.34,0.44
1041,Universal Cables,668.65,66.87,2319.91,2029.96,1.14,89.77,25.87,25.84,0.45,1.31,64404,10,511.61,-88.49,3.47,0.43
1042,Carysil,816.4,408.2,2319.85,743.29,3.12,62.56,23.18,37.31,0.24,6.18,72348,2,132.01,0.63,2.84,0.85
1043,Kody Technolab,3633.3,363.33,2315.79,22.46,103.53,4.89,7.67,473.58,0.00,62.42,2400,10,58.21,411.25,0.64,0.03
1044,GRP,4342,434.2,2315.73,488.24,4.71,25.04,47.25,86.21,0.22,13.80,9086,10,314.58,-62.55,0.53,0.68
1045,Dreamfolks Servi,443.2,221.6,2315.72,1189.49,1.94,72.83,14.01,31.80,0.45,9.80,165598,2,45.24,-4.62,5.22,0.03
1046,John Cockerill,4683.2,468.32,2313.50,685.81,3.35,20.89,42.31,110.75,0.15,10.92,2931,10,428.73,-100.83,0.49,0.02
1047,Sanghi Industrie,89.21,8.92,2304.53,877.65,2.63,-348.2,-13.48,,0.00,2.07,348794,10,43,-366.98,25.83,1.88
1048,IOL Chemicals,390.85,39.09,2294.50,2071.99,1.11,118.89,20.25,19.30,1.28,1.42,140616,10,274.48,5.29,5.87,0.02
1049,DCW,77.65,38.83,2291.88,1933.07,1.19,12.4,0.42,169.27,0.64,2.22,7025934,2,34.96,-56.10,29.52,0.43
1050,Pennar Industrie,168.77,33.75,2277.49,3115.13,0.73,102.94,7.63,22.17,0.00,2.60,703376,5,64.95,-8.37,13.49,0.90
1051,Astec Lifescienc,1157.35,115.74,2269.59,384.7,5.90,-78.41,-40.01,,0.13,6.15,44375,10,188.32,-4036.46,1.96,1.34
1052,Landmark Cars,548.55,109.71,2266.99,3425.89,0.66,53.4,12.77,42.94,0.27,4.20,404743,5,130.52,-68.55,4.13,1.16
1053,Ugro Capital,243.95,24.4,2266.18,1126.13,2.01,124.47,13.43,18.21,0.00,1.57,102927,10,154.95,-7.13,9.29,3.24
1054,GKW,3795.4,379.54,2265.85,39.16,58.15,11.88,19.8,190.73,0.00,0.97,1142,10,3928.35,158.25,0.6,0.00
1055,JP Associates,9.2,4.6,2258.23,6809.78,0.33,-2181.42,-8.89,,0.00,,0,2,-10.57,-137.88,245.46,
1056,Tatva Chintan,963.95,96.4,2254.88,384.61,5.86,26.06,11.14,86.53,0.21,3.06,38329,10,315.1,-45.79,2.34,0.02
1057,Satin Creditcare,204.05,20.41,2254.16,2407.95,0.94,453.35,42.09,4.97,0.00,0.94,557005,10,217.33,-17.89,11.05,3.30
1058,Tarsons Products,423.15,211.58,2251.42,296.39,7.60,42.64,8.01,52.80,0.00,3.67,265391,2,115.19,-61.05,5.32,0.44
1059,TTK Healthcare,1592.7,159.27,2250.54,758.58,2.96,78.75,55.73,35.44,0.63,2.25,7989,10,708.35,72.85,1.41,0.02
1060,Jyoti Structures,25.77,12.89,2242.89,354.41,6.33,31.49,0.37,71.23,0.00,,6046566,2,-0.3,-63.95,87.03,71.11
1061,Apollo Pipes,540.15,54.02,2233.69,957.03,2.34,39.4,9.88,56.69,0.11,3.70,127201,10,145.82,66.87,4.14,0.11
1062,Vakrangee,21.08,21.08,2233.45,215.69,10.35,6.08,0.06,385.74,0.24,13.78,4442447,1,1.53,1.83,105.95,0.07
1063,Suratwwala Busi.,128.78,128.78,2233.26,64.51,34.62,24.41,1.41,91.49,0.00,38.59,351981,1,3.34,-26.83,17.34,0.65
1064,Epack Durable,233,23.3,2232.11,1756.54,1.27,50.05,4.81,44.60,0.00,2.50,639810,10,93.13,-15.88,9.58,0.43
1065,IKIO Lighting,288.2,28.82,2227.23,456.64,4.88,59.09,7.65,37.69,0.35,4.03,177131,10,71.53,29.94,7.73,0.13
1066,Siyaram Silk,488.15,244.08,2214.74,2039.94,1.09,186.68,40.71,11.86,2.25,1.94,33734,2,251.48,-82.58,4.54,0.15
1067,Cantabil Retail,264.75,132.38,2214.32,632.92,3.50,61.36,7.43,36.80,0.15,6.78,1426015,2,39.03,-37.82,8.36,1.03
1068,Nalwa Sons Invst,4280.45,428.05,2200.15,102.88,21.22,68.89,132.45,32.34,0.00,0.17,5706,10,24541.57,1568.57,0.51,0.00
1069,S P Apparels,876.7,87.67,2199.87,1085.04,2.03,92.71,36.96,23.74,0.34,2.88,27795,10,304.33,-36.58,2.51,0.27
1070,Vidhi Specialty,439.3,439.3,2194.08,306.72,7.15,36.71,7.35,59.77,0.46,7.81,9032,1,56.27,-20.34,4.99,0.07
1071,Rossell India,577.85,288.93,2178.29,371.16,5.87,15.02,3.98,143.03,0.05,7.33,29204,2,78.79,121.90,3.77,0.65
1072,GOCL Corpn.,439.35,219.68,2177.97,690.64,3.16,72.35,14.59,27.81,1.14,1.53,134435,2,286.25,633.81,4.96,0.84
1073,Apcotex Industri,419.7,209.85,2175.93,1183.45,1.84,56.55,10.91,38.48,1.31,4.17,44467,2,100.63,-3.33,5.18,0.36
1074,Amrutanjan Healt,750.4,750.4,2169.45,427.1,5.08,42.58,14.73,50.95,0.27,7.52,48140,1,99.79,-66.18,2.89,0.01
1075,Solara Active,601.95,60.2,2167.34,1336.89,1.62,-561.31,-117.87,,0.00,3.09,74990,10,194.56,94.73,3.6,1.08
1076,Technvision Ven.,3440.8,344.08,2160.82,213.92,10.13,22.53,35.9,95.91,0.00,141.67,715,10,24.29,-75.65,0.63,0.89
1077,Mukand,149.07,14.91,2154.00,5050.51,0.43,96.09,6.65,22.42,1.34,2.34,233878,10,63.75,-16.36,14.45,1.62
1078,Kitex Garments,323.82,323.82,2153.40,661.58,3.25,74.71,11.4,28.84,0.46,2.38,14755841,1,136.03,35.21,6.65,0.75
1079,Hester Bios,2531.15,253.12,2153.22,298.97,7.20,21.95,22.76,111.51,0.24,7.38,9581,10,343.02,17.03,0.85,0.84
1080,Uniparts India,475.9,47.59,2147.92,1103.96,1.94,112.47,24.92,19.10,2.94,2.47,167088,10,192.29,-13.06,4.51,0.12
1081,PNB Gilts,119.13,11.91,2144.46,1645.96,1.30,64.98,3.61,33.92,0.84,1.61,331689,10,73.87,-21.56,18,16.85
1082,Talbros Auto.,347.3,173.65,2143.82,799.8,2.68,113.18,18.34,25.69,0.20,3.99,157043,2,87.03,-58.61,6.17,0.18
1083,AXISCADES Tech.,510.85,102.17,2142.92,964.01,2.22,44.48,10.96,48.72,0.00,3.66,134206,5,139.54,86.54,4.19,0.54
1084,SG Finserve,383.3,38.33,2142.46,198.42,10.80,82.33,14.92,26.02,0.00,2.61,27248,10,146.67,-18.53,5.59,1.19
1085,Updater Services,320,32,2142.35,2520.09,0.85,79.51,12.26,27.04,0.00,2.55,725291,10,125.49,6.08,6.69,0.12
1086,Omaxe,116.99,11.7,2139.75,1742.49,1.23,-446.69,-24.26,,0.00,4.45,123009,10,26.27,-2.36,18.29,1.66
1087,Som Distilleries,110.2,55.1,2135.41,1408.74,1.52,93.38,4.82,22.87,0.09,3.80,621606,2,29,102.85,19.38,0.30
1088,Prataap Snacks,894.4,178.88,2135.24,1651.54,1.29,49.13,20.59,43.46,0.11,2.93,582560,5,305.26,-23.75,2.39,0.11
1089,Tanfac Inds.,2140.3,214.03,2134.95,367.31,5.83,45.41,45.52,47.01,0.30,9.26,2919,10,231.03,-10.89,1,0.00
1090,IFGL Refractori.,590.85,59.09,2129.38,1630.18,1.30,76.71,21.29,27.76,1.18,1.99,22625,10,297.47,96.57,3.6,0.16
1091,Seshasayee Paper,337.1,168.55,2126.03,1797.22,1.18,226.34,35.89,9.39,1.48,1.16,40745,2,291.36,-27.88,6.31,0.01
1092,Krsnaa Diagnost.,658.2,131.64,2125.31,620.89,3.42,61.5,19.15,34.56,0.38,2.61,43679,5,252.48,-1.30,3.23,0.20
1093,GPT Infraproject,182.32,18.23,2121.18,1024.12,2.07,59.49,5.28,35.85,0.82,7.01,332170,10,26.02,7.87,11.63,0.64
1094,BF Investment,563,112.6,2120.26,44.31,47.90,560.05,148.68,3.79,0.00,0.34,96308,5,1646.32,-27.03,3.77,0.00
1095,Yasho Industries,1856.45,185.65,2116.20,615.86,3.44,40.68,35.69,52.02,0.03,7.18,12975,10,258.54,-113.71,1.14,1.96
